ZONE,SEXE,TRAGE,POP_2022
Aube,1,[30;35[,8510
Aube,1,[35;40[,9010
Aube,1,[40;45[,8730
Aube,1,[45;50[,9160
Aube,1,[50;55[,9700
Aube,1,[55;60[,9680
Aube,1,[60;65[,9180
Aube,1,[65;70[,8800
Aube,1,[70;75[,8730
Aube,1,[75;80[,5510
Aube,1,[80;85[,3610
Aube,1,[85;90[,2380
Aube,1,[90;95[,990
Aube,1,[95;99+],230
Aube,2,[0;5[,7550
Aube,2,[5;10[,9010
Aube,2,[10;15[,9980
Aube,2,[15;20[,9610
Aube,2,[20;25[,8030
Aube,2,[25;30[,7960
Aube,2,[30;35[,8850
Aube,2,[35;40[,9200
Aube,2,[40;45[,9500
Aube,2,[45;50[,9380
Aube,2,[50;55[,10110
Aube,2,[55;60[,10230
Aube,2,[60;65[,10100
Aube,2,[65;70[,10010
Aube,2,[70;75[,10090
Aube,2,[75;80[,6720
Aube,2,[80;85[,5180
Aube,2,[85;90[,4560
Aube,2,[90;95[,2660
Aube,2,[95;99+],1030
Aude,1,[0;5[,8200
Aude,1,[5;10[,10120
Aude,1,[10;15[,11600
Aude,1,[15;20[,10840
Aude,1,[20;25[,8290
Aude,1,[25;30[,7590
Aude,1,[30;35[,8810
Aude,1,[35;40[,9670
Aude,1,[40;45[,10780
Aude,1,[45;50[,11160
Aude,1,[50;55[,12630
Aude,1,[55;60[,12600
Aude,1,[60;65[,12450
Aude,1,[65;70[,13190
Aude,1,[70;75[,12740
Aude,1,[75;80[,8990
Aude,1,[80;85[,5540
Aude,1,[85;90[,3630
Aude,1,[90;95[,1690
Aude,1,[95;99+],380
Aude,2,[0;5[,7900
Aude,2,[5;10[,9630
Aude,2,[10;15[,11020
Aude,2,[15;20[,10230
Aude,2,[20;25[,7700
Aude,2,[25;30[,7500
Aude,2,[30;35[,9080
Aude,2,[35;40[,10660
Aude,2,[40;45[,11310
Aude,2,[45;50[,11930
Aude,2,[50;55[,13290
Aude,2,[55;60[,13650
Aude,2,[60;65[,13910
Aude,2,[65;70[,14420
Aude,2,[70;75[,14340
Aude,2,[75;80[,10730
Aude,2,[80;85[,7450
Aude,2,[85;90[,6060
Aude,2,[90;95[,3800
Aude,2,[95;99+],1400
Aveyron,1,[0;5[,5940
Aveyron,1,[5;10[,7090
Aveyron,1,[10;15[,7870
Aveyron,1,[15;20[,7970
Aveyron,1,[20;25[,6670
Aveyron,1,[25;30[,5990
Aveyron,1,[30;35[,6930
Aveyron,1,[35;40[,7340
Aveyron,1,[40;45[,7910
Aveyron,1,[45;50[,8700
Aveyron,1,[50;55[,9460
Aveyron,1,[55;60[,10210
Aveyron,1,[60;65[,10090
Aveyron,1,[65;70[,10230
Aveyron,1,[70;75[,9740
Aveyron,1,[75;80[,6500
Aveyron,1,[80;85[,4450
Aveyron,1,[85;90[,3360
Aveyron,1,[90;95[,1490
Aveyron,1,[95;99+],340
Aveyron,2,[0;5[,5610
Aveyron,2,[5;10[,6490
Aveyron,2,[10;15[,7540
Aveyron,2,[15;20[,6830
Aveyron,2,[20;25[,5080
Aveyron,2,[25;30[,5100
Aveyron,2,[30;35[,6630
Aveyron,2,[35;40[,7500
Aveyron,2,[40;45[,7720
Aveyron,2,[45;50[,8460
Aveyron,2,[50;55[,9480
Aveyron,2,[55;60[,10110
Aveyron,2,[60;65[,10440
Aveyron,2,[65;70[,10290
Aveyron,2,[70;75[,10680
Aveyron,2,[75;80[,7450
Aveyron,2,[80;85[,6190
Aveyron,2,[85;90[,5400
Aveyron,2,[90;95[,3290
Aveyron,2,[95;99+],1300
Bas-Rhin,1,[0;5[,29730
Bas-Rhin,1,[5;10[,33780
Bas-Rhin,1,[10;15[,34530
Bas-Rhin,1,[15;20[,34350
Bas-Rhin,1,[20;25[,35720
Bas-Rhin,1,[25;30[,34500
Bas-Rhin,1,[30;35[,36790
Bas-Rhin,1,[35;40[,35530
Bas-Rhin,1,[40;45[,35150
Bas-Rhin,1,[45;50[,35410
Bas-Rhin,1,[50;55[,38560
Bas-Rhin,1,[55;60[,38860
Bas-Rhin,1,[60;65[,34900
Bas-Rhin,1,[65;70[,31720
Bas-Rhin,1,[70;75[,27310
Bas-Rhin,1,[75;80[,17120
Bas-Rhin,1,[80;85[,12380
Bas-Rhin,1,[85;90[,7380
Bas-Rhin,1,[90;95[,2770
Bas-Rhin,1,[95;99+],580
Bas-Rhin,2,[0;5[,28760
Bas-Rhin,2,[5;10[,31100
Bas-Rhin,2,[10;15[,32860
Bas-Rhin,2,[15;20[,33880
Bas-Rhin,2,[20;25[,38520
Bas-Rhin,2,[25;30[,35640
Bas-Rhin,2,[30;35[,37050
Bas-Rhin,2,[35;40[,37350
Bas-Rhin,2,[40;45[,36800
Bas-Rhin,2,[45;50[,36630
Bas-Rhin,2,[50;55[,38990
Bas-Rhin,2,[55;60[,39370
Bas-Rhin,2,[60;65[,37900
Bas-Rhin,2,[65;70[,34770
Bas-Rhin,2,[70;75[,30590
Bas-Rhin,2,[75;80[,20170
Bas-Rhin,2,[80;85[,17500
Bas-Rhin,2,[85;90[,13390
Bas-Rhin,2,[90;95[,7180
Bas-Rhin,2,[95;99+],2470
Bouches-du-Rhône,1,[0;5[,55830
Bouches-du-Rhône,1,[5;10[,61390
Bouches-du-Rhône,1,[10;15[,63190
Bouches-du-Rhône,1,[15;20[,61780
Bouches-du-Rhône,1,[20;25[,62310
Bouches-du-Rhône,1,[25;30[,56650
Bouches-du-Rhône,1,[30;35[,59460
Bouches-du-Rhône,1,[35;40[,61250
Bouches-du-Rhône,1,[40;45[,61540
Bouches-du-Rhône,1,[45;50[,61480
Bouches-du-Rhône,1,[50;55[,64200
Bouches-du-Rhône,1,[55;60[,63050
Bouches-du-Rhône,1,[60;65[,57560
Bouches-du-Rhône,1,[65;70[,52050
Bouches-du-Rhône,1,[70;75[,49920
Bouches-du-Rhône,1,[75;80[,36970
Bouches-du-Rhône,1,[80;85[,24860
Bouches-du-Rhône,1,[85;90[,15420
Bouches-du-Rhône,1,[90;95[,6600
Bouches-du-Rhône,1,[95;99+],1650
Bouches-du-Rhône,2,[0;5[,53440
Bouches-du-Rhône,2,[5;10[,58810
Bouches-du-Rhône,2,[10;15[,61050
Bouches-du-Rhône,2,[15;20[,59740
Bouches-du-Rhône,2,[20;25[,63030
Bouches-du-Rhône,2,[25;30[,58350
Bouches-du-Rhône,2,[30;35[,62560
Bouches-du-Rhône,2,[35;40[,67640
Bouches-du-Rhône,2,[40;45[,66960
Bouches-du-Rhône,2,[45;50[,67320
Bouches-du-Rhône,2,[50;55[,69270
Bouches-du-Rhône,2,[55;60[,70000
Bouches-du-Rhône,2,[60;65[,64220
Bouches-du-Rhône,2,[65;70[,61490
Bouches-du-Rhône,2,[70;75[,60070
Bouches-du-Rhône,2,[75;80[,45870
Bouches-du-Rhône,2,[80;85[,34550
Bouches-du-Rhône,2,[85;90[,26580
Bouches-du-Rhône,2,[90;95[,15470
Bouches-du-Rhône,2,[95;99+],5960
Calvados,1,[0;5[,16850
Calvados,1,[5;10[,19350
Calvados,1,[10;15[,21730
Calvados,1,[15;20[,22700
Calvados,1,[20;25[,23100
Calvados,1,[25;30[,17570
Calvados,1,[30;35[,18360
Calvados,1,[35;40[,19400
Calvados,1,[40;45[,20500
Calvados,1,[45;50[,21060
Calvados,1,[50;55[,22050
Calvados,1,[55;60[,21340
Calvados,1,[60;65[,21220
Calvados,1,[65;70[,20870
Calvados,1,[70;75[,19550
Calvados,1,[75;80[,12050
Calvados,1,[80;85[,7990
Calvados,1,[85;90[,5250
Calvados,1,[90;95[,2080
Calvados,1,[95;99+],460
Calvados,2,[0;5[,16370
Calvados,2,[5;10[,18270
Calvados,2,[10;15[,20790
Calvados,2,[15;20[,21810
Calvados,2,[20;25[,22190
Calvados,2,[25;30[,17750
Calvados,2,[30;35[,19020
Calvados,2,[35;40[,20430
Calvados,2,[40;45[,21120
Calvados,2,[45;50[,21570
Calvados,2,[50;55[,22380
Calvados,2,[55;60[,22990
Calvados,2,[60;65[,23580
Calvados,2,[65;70[,24160
Calvados,2,[70;75[,23040
Calvados,2,[75;80[,15710
Calvados,2,[80;85[,11980
Calvados,2,[85;90[,10100
Calvados,2,[90;95[,5850
Calvados,2,[95;99+],2180
Cantal,1,[0;5[,2720
Cantal,1,[5;10[,3300
Cantal,1,[10;15[,3700
Cantal,1,[15;20[,3990
Cantal,1,[20;25[,3010
Cantal,1,[25;30[,2770
Cantal,1,[30;35[,3240
Cantal,1,[35;40[,3700
Cantal,1,[40;45[,3960
Cantal,1,[45;50[,4540
Cantal,1,[50;55[,5010
Cantal,1,[55;60[,5500
Cantal,1,[60;65[,5730
Cantal,1,[65;70[,5560
Cantal,1,[70;75[,5180
Cantal,1,[75;80[,3260
Cantal,1,[80;85[,2320
Cantal,1,[85;90[,1680
Cantal,1,[90;95[,670
Cantal,1,[95;99+],140
Cantal,2,[0;5[,2650
Cantal,2,[5;10[,3300
Cantal,2,[10;15[,3750
Cantal,2,[15;20[,3530
Cantal,2,[20;25[,2550
Cantal,2,[25;30[,2580
Cantal,2,[30;35[,3270
Cantal,2,[35;40[,3750
Cantal,2,[40;45[,3930
Cantal,2,[45;50[,4400
Cantal,2,[50;55[,4970
Cantal,2,[55;60[,5420
Cantal,2,[60;65[,5700
Cantal,2,[65;70[,5590
Cantal,2,[70;75[,5540
Cantal,2,[75;80[,4020
Cantal,2,[80;85[,3220
Cantal,2,[85;90[,2820
Cantal,2,[90;95[,1650
Cantal,2,[95;99+],800
Charente,1,[0;5[,7320
Charente,1,[5;10[,9200
Charente,1,[10;15[,10250
Charente,1,[15;20[,10190
Charente,1,[20;25[,8310
Charente,1,[25;30[,7820
Charente,1,[30;35[,8630
Charente,1,[35;40[,9740
Charente,1,[40;45[,9770
Charente,1,[45;50[,10420
Charente,1,[50;55[,11520
Charente,1,[55;60[,12120
Charente,1,[60;65[,12100
Charente,1,[65;70[,12180
Charente,1,[70;75[,11430
Charente,1,[75;80[,7400
Charente,1,[80;85[,4900
Charente,1,[85;90[,3560
Charente,1,[90;95[,1470
Charente,1,[95;99+],380
Charente,2,[0;5[,7060
Charente,2,[5;10[,8750
Charente,2,[10;15[,9750
Charente,2,[15;20[,8970
Charente,2,[20;25[,7030
Charente,2,[25;30[,7490
Charente,2,[30;35[,9070
Charente,2,[35;40[,9740
Charente,2,[40;45[,9970
Charente,2,[45;50[,11190
Charente,2,[50;55[,12020
Charente,2,[55;60[,12950
Charente,2,[60;65[,13220
Charente,2,[65;70[,13480
Charente,2,[70;75[,12700
Charente,2,[75;80[,8890
Charente,2,[80;85[,6730
Charente,2,[85;90[,5840
Charente,2,[90;95[,3430
Charente,2,[95;99+],1310
Charente-Maritime,1,[0;5[,13070
Charente-Maritime,1,[5;10[,16430
Charente-Maritime,1,[10;15[,18660
Charente-Maritime,1,[15;20[,18840
Charente-Maritime,1,[20;25[,16560
Charente-Maritime,1,[25;30[,12670
Charente-Maritime,1,[30;35[,14800
Charente-Maritime,1,[35;40[,16830
Charente-Maritime,1,[40;45[,18130
Charente-Maritime,1,[45;50[,19650
Charente-Maritime,1,[50;55[,21400
Charente-Maritime,1,[55;60[,21270
Charente-Maritime,1,[60;65[,22470
Charente-Maritime,1,[65;70[,24300
Charente-Maritime,1,[70;75[,24030
Charente-Maritime,1,[75;80[,15920
Charente-Maritime,1,[80;85[,10180
Charente-Maritime,1,[85;90[,6900
Charente-Maritime,1,[90;95[,2920
Charente-Maritime,1,[95;99+],740
Charente-Maritime,2,[0;5[,12580
Charente-Maritime,2,[5;10[,15780
Charente-Maritime,2,[10;15[,17630
Charente-Maritime,2,[15;20[,17160
Charente-Maritime,2,[20;25[,13650
Charente-Maritime,2,[25;30[,12730
Charente-Maritime,2,[30;35[,15920
Charente-Maritime,2,[35;40[,17910
Charente-Maritime,2,[40;45[,19230
Charente-Maritime,2,[45;50[,20960
Charente-Maritime,2,[50;55[,22830
Charente-Maritime,2,[55;60[,23720
Charente-Maritime,2,[60;65[,25540
Charente-Maritime,2,[65;70[,28650
Charente-Maritime,2,[70;75[,28090
Charente-Maritime,2,[75;80[,18950
Charente-Maritime,2,[80;85[,13890
Charente-Maritime,2,[85;90[,11320
Charente-Maritime,2,[90;95[,6900
Charente-Maritime,2,[95;99+],2590
Cher,1,[0;5[,6640
Cher,1,[5;10[,7700
Cher,1,[10;15[,8590
Cher,1,[15;20[,8280
Cher,1,[20;25[,6970
Cher,1,[25;30[,6610
Cher,1,[30;35[,7630
Cher,1,[35;40[,8060
Cher,1,[40;45[,8110
Cher,1,[45;50[,9020
Cher,1,[50;55[,10210
Cher,1,[55;60[,10450
Cher,1,[60;65[,10260
Cher,1,[65;70[,9980
Cher,1,[70;75[,10040
Cher,1,[75;80[,6630
Cher,1,[80;85[,4400
Cher,1,[85;90[,2900
Cher,1,[90;95[,1160
Cher,1,[95;99+],280
Cher,2,[0;5[,6640
Cher,2,[5;10[,7830
Cher,2,[10;15[,8180
Cher,2,[15;20[,7640
Cher,2,[20;25[,6040
Cher,2,[25;30[,6190
Cher,2,[30;35[,7560
Cher,2,[35;40[,8480
Cher,2,[40;45[,8050
Cher,2,[45;50[,9070
Cher,2,[50;55[,10470
Cher,2,[55;60[,10750
Cher,2,[60;65[,10930
Cher,2,[65;70[,11140
Cher,2,[70;75[,11330
Cher,2,[75;80[,7740
Cher,2,[80;85[,5960
Cher,2,[85;90[,5100
Cher,2,[90;95[,3000
Cher,2,[95;99+],1310
Corrèze,1,[0;5[,4690
Corrèze,1,[5;10[,5850
Corrèze,1,[10;15[,6560
Corrèze,1,[15;20[,6930
Corrèze,1,[20;25[,6410
Corrèze,1,[25;30[,5390
Corrèze,1,[30;35[,5560
Corrèze,1,[35;40[,6300
Corrèze,1,[40;45[,6700
Corrèze,1,[45;50[,7400
Corrèze,1,[50;55[,8030
Corrèze,1,[55;60[,8220
Corrèze,1,[60;65[,8400
Corrèze,1,[65;70[,8530
Corrèze,1,[70;75[,8480
Corrèze,1,[75;80[,5310
Corrèze,1,[80;85[,3660
Corrèze,1,[85;90[,2650
Corrèze,1,[90;95[,1150
Corrèze,1,[95;99+],290
Corrèze,2,[0;5[,4510
Corrèze,2,[5;10[,5290
Corrèze,2,[10;15[,6470
Corrèze,2,[15;20[,6120
Corrèze,2,[20;25[,4770
Corrèze,2,[25;30[,4560
Corrèze,2,[30;35[,5570
Corrèze,2,[35;40[,6430
Corrèze,2,[40;45[,6690
Corrèze,2,[45;50[,7560
Corrèze,2,[50;55[,8070
Corrèze,2,[55;60[,8480
Corrèze,2,[60;65[,8990
Corrèze,2,[65;70[,9510
Corrèze,2,[70;75[,9470
Corrèze,2,[75;80[,6700
Corrèze,2,[80;85[,5280
Corrèze,2,[85;90[,4640
Corrèze,2,[90;95[,2860
Corrèze,2,[95;99+],1100
Corse-du-Sud,1,[0;5[,3760
Corse-du-Sud,1,[5;10[,4390
Corse-du-Sud,1,[10;15[,4690
Corse-du-Sud,1,[15;20[,3900
Corse-du-Sud,1,[20;25[,3140
Corse-du-Sud,1,[25;30[,3440
Corse-du-Sud,1,[30;35[,4260
Corse-du-Sud,1,[35;40[,4730
Corse-du-Sud,1,[40;45[,5330
Corse-du-Sud,1,[45;50[,5510
Corse-du-Sud,1,[50;55[,5740
Corse-du-Sud,1,[55;60[,5510
Corse-du-Sud,1,[60;65[,4960
Corse-du-Sud,1,[65;70[,4980
Corse-du-Sud,1,[70;75[,4940
Corse-du-Sud,1,[75;80[,3470
Corse-du-Sud,1,[80;85[,2810
Corse-du-Sud,1,[85;90[,1610
Corse-du-Sud,1,[90;95[,660
Corse-du-Sud,1,[95;99+],150
Corse-du-Sud,2,[0;5[,3580
Corse-du-Sud,2,[5;10[,4250
Corse-du-Sud,2,[10;15[,4250
Corse-du-Sud,2,[15;20[,3550
Corse-du-Sud,2,[20;25[,2670
Corse-du-Sud,2,[25;30[,3630
Corse-du-Sud,2,[30;35[,4640
Corse-du-Sud,2,[35;40[,5500
Corse-du-Sud,2,[40;45[,5640
Corse-du-Sud,2,[45;50[,5710
